1.910619395600429584e+02,1.937429166395733375e+02,1.949472865301639786e+02,1.964591877936757101e+02,1.971740979654991577e+02,1.979254017104586865e+02,1.987044053675418809e+02,1.990588117991377430e+02,1.988961252771338195e+02,1.987658507948727049e+02,1.991234353877228216e+02,1.986789308256207960e+02
1.910619395600429584e+02,1.937429166395733375e+02,1.949472966482481695e+02,1.964591877936757101e+02,1.971740979654991577e+02,1.979254017104586865e+02,1.987044053675418809e+02,1.990588117991377430e+02,1.988961252771338195e+02,1.987658507948727049e+02,1.991234353877228216e+02,1.986789308256207960e+02
1.910619395600429584e+02,1.937429189243080430e+02,1.949472988886019778e+02,1.964591899804297555e+02,1.971740979654991577e+02,1.979254017104586865e+02,1.987044053675418809e+02,1.990588117991377430e+02,1.988961252771338195e+02,1.987658507948727049e+02,1.991234353877228216e+02,1.986789308256207960e+02
1.910617539204565389e+02,1.937427317462633027e+02,1.949470973380687440e+02,1.964589761743670806e+02,1.971738977278761809e+02,1.979252300413219814e+02,1.987042421467028532e+02,1.990586614221644481e+02,1.988960635043421235e+02,1.987658151311646293e+02,1.991234188602129223e+02,1.986789198823289269e+02
1.910458584240081450e+02,1.937243403551089784e+02,1.949290878166439427e+02,1.964395624024893436e+02,1.971543118160992947e+02,1.979066060674720120e+02,1.986860917325717537e+02,1.990409995693734118e+02,1.988797668543330417e+02,1.987523988483795847e+02,1.991111441622228710e+02,1.986684422828504921e+02
1.908210594414620118e+02,1.934599404170665480e+02,1.946717055999072841e+02,1.961695388307417431e+02,1.968745299922366314e+02,1.976295399641437598e+02,1.984095647831610165e+02,1.987638201913419493e+02,1.986154649504895531e+02,1.985119304278933043e+02,1.988802281819631332e+02,1.984530403644197634e+02
1.898590725685619418e+02,1.924235572062177653e+02,1.936583478589558922e+02,1.951227333832229931e+02,1.957962878600910699e+02,1.965535293830252783e+02,1.973363136640832352e+02,1.976774927307519363e+02,1.975573066197138417e+02,1.974795549383053128e+02,1.978712966949483700e+02,1.974721295502332623e+02
1.880326034418961285e+02,1.905939846988826218e+02,1.918633286898536596e+02,1.932894582937012160e+02,1.939532340745148531e+02,1.946932755752050355e+02,1.954825901366895664e+02,1.958002968961495185e+02,1.957048910733952312e+02,1.956234591961108151e+02,1.960384808107408787e+02,1.956521868532485655e+02
1.855947614660484533e+02,1.881283962005406636e+02,1.894673360629014951e+02,1.908091142093036581e+02,1.914580537716839501e+02,1.921905348923141617e+02,1.929826214372299660e+02,1.932584461590509761e+02,1.931883414549392057e+02,1.931073591934297156e+02,1.935281709660198999e+02,1.931803704513949071e+02
1.832024545655987424e+02,1.855981715360216242e+02,1.869380002353065606e+02,1.881865171681959055e+02,1.888399624937393639e+02,1.895460128157990880e+02,1.903327456454875630e+02,1.905858007752941887e+02,1.905492597465592439e+02,1.904909029154160010e+02,1.909534763425810127e+02,1.906627438408140733e+02
