2.024093783884964068e+02,2.020124755842579987e+02,1.537830176865164731e+02
2.024094038923877008e+02,2.020124755842579987e+02,1.537830176865164731e+02
2.024109141787539841e+02,2.020130157284254437e+02,1.537880843901260732e+02
2.025487297916768625e+02,2.021546334179917039e+02,1.539342115615778539e+02
2.038894377208803519e+02,2.035336091912004122e+02,1.562834006189950458e+02
2.079828092882120529e+02,2.077088005230768317e+02,1.643535002743956568e+02
2.194361239193796393e+02,2.192419017855172285e+02,2.015941875952873943e+02
2.409453098753915299e+02,2.410720913140775963e+02,2.276836359924978979e+02
2.439950868001192816e+02,2.441515729536208994e+02,1.914353987791859879e+02
2.345315754393112115e+02,2.353934292443981064e+02,1.905220995780208284e+02
